prompt_ix,split
607,train
506,train
636,train
555,train
45,train
188,train
268,train
314,train
716,train
727,train
10,train
351,train
407,train
274,train
140,train
736,train
196,train
291,train
279,train
494,train
513,train
463,train
86,train
72,train
199,train
110,train
128,train
630,train
539,train
646,train
325,train
14,train
269,train
226,train
341,train
512,train
308,train
740,train
582,train
180,train
339,train
391,train
476,train
523,train
399,train
590,train
7,train
136,train
311,train
288,train
17,train
170,train
51,train
62,train
264,train
334,train
232,train
343,train
182,train
115,train
495,train
536,train
371,train
247,train
26,train
235,train
84,train
445,train
570,train
107,train
213,train
623,train
202,train
277,train
429,train
579,train
4,train
431,train
11,train
167,train
298,train
572,train
124,train
248,train
427,train
730,train
662,train
178,train
556,train
443,train
103,train
88,train
46,train
20,train
640,train
376,train
171,train
89,train
522,train
396,train
340,train
295,train
203,train
519,train
61,train
109,train
525,train
285,train
259,train
67,train
219,train
183,train
723,train
524,train
102,train
458,train
604,train
675,train
37,train
13,train
414,train
554,train
677,train
379,train
92,train
63,train
359,train
132,train
558,train
418,train
299,train
155,train
595,train
186,train
679,train
211,train
437,train
651,train
528,train
138,train
549,train
24,train
507,train
660,train
276,train
683,train
422,train
368,train
356,train
57,train
174,train
374,train
31,train
70,train
365,train
553,train
53,train
576,train
492,train
591,train
18,train
189,train
520,train
231,train
562,train
484,train
615,train
65,train
455,train
134,train
469,train
244,train
658,train
676,train
52,train
54,train
338,train
154,train
666,train
96,train
98,train
408,train
457,train
608,train
606,train
223,train
744,train
99,train
240,train
568,train
310,train
85,train
669,train
637,train
118,train
529,train
412,train
566,train
689,train
561,train
749,train
485,train
304,train
694,train
737,train
221,train
40,train
29,train
22,train
309,train
521,train
692,train
243,train
589,train
209,train
76,train
490,train
44,train
254,train
348,train
2,train
628,train
620,train
705,train
318,train
475,train
331,train
619,train
474,train
193,train
330,train
722,train
260,train
440,train
8,train
313,train
335,train
387,train
81,train
738,train
461,train
172,train
148,train
249,train
527,train
246,train
605,train
101,train
481,train
266,train
621,train
239,train
486,train
306,train
613,train
157,train
425,train
168,train
594,train
478,train
250,train
164,train
517,train
297,train
726,train
307,train
617,train
220,train
413,train
292,train
504,train
323,train
599,train
377,train
290,train
289,train
550,train
77,train
238,train
653,train
386,train
187,train
133,train
163,train
74,train
624,train
406,train
655,train
471,train
739,train
83,train
236,train
531,train
491,train
161,train
185,train
403,train
652,train
483,train
117,train
64,train
50,train
493,train
688,train
36,train
373,train
389,train
56,train
668,train
557,train
667,train
160,train
104,train
673,train
559,train
678,train
728,train
73,train
270,train
538,train
267,train
23,train
622,train
212,train
262,train
380,train
5,train
375,train
691,train
430,train
649,train
641,train
409,train
500,train
139,train
328,train
360,train
294,train
460,train
156,train
532,train
542,train
496,train
423,train
592,train
593,train
650,train
206,train
724,train
665,train
411,train
701,train
108,train
93,train
453,train
473,train
573,train
578,train
575,train
68,train
222,train
215,train
663,train
487,train
28,train
746,train
256,train
392,train
482,train
514,train
367,train
684,train
49,train
510,train
405,train
633,train
731,train
137,train
710,train
366,train
661,train
560,train
712,train
166,train
648,train
16,train
233,train
441,train
681,train
105,train
616,train
316,train
159,train
718,train
284,train
426,train
618,train
627,train
100,train
9,train
421,train
