response_id,persona,family,is_persona,question_id,judge_score,included,inclusion_rule
anarchist__q0,anarchist,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
anarchist__q5,anarchist,spiritual_adversarial,True,5,1.0,False,official_score_equals_3
bartender__q0,bartender,ordinary_occupation,True,0,1.0,False,official_score_equals_3
bartender__q5,bartender,ordinary_occupation,True,5,2.0,False,official_score_equals_3
comedian__q0,comedian,theatrical_fictional,True,0,2.0,False,official_score_equals_3
comedian__q5,comedian,theatrical_fictional,True,5,3.0,True,official_score_equals_3
consultant__q0,consultant,helpful_professional,True,0,1.0,False,official_score_equals_3
consultant__q5,consultant,helpful_professional,True,5,3.0,True,official_score_equals_3
default_assistant__q0,default_assistant,default,False,0,,True,all_default
default_assistant__q5,default_assistant,default,False,5,,True,all_default
devils_advocate__q0,devils_advocate,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
devils_advocate__q5,devils_advocate,spiritual_adversarial,True,5,3.0,True,official_score_equals_3
engineer__q0,engineer,ordinary_occupation,True,0,1.0,False,official_score_equals_3
engineer__q5,engineer,ordinary_occupation,True,5,3.0,True,official_score_equals_3
genie__q0,genie,theatrical_fictional,True,0,3.0,True,official_score_equals_3
genie__q5,genie,theatrical_fictional,True,5,3.0,True,official_score_equals_3
librarian__q0,librarian,ordinary_occupation,True,0,2.0,False,official_score_equals_3
librarian__q5,librarian,ordinary_occupation,True,5,3.0,True,official_score_equals_3
mediator__q0,mediator,helpful_professional,True,0,1.0,False,official_score_equals_3
mediator__q5,mediator,helpful_professional,True,5,2.0,False,official_score_equals_3
mystic__q0,mystic,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
mystic__q5,mystic,spiritual_adversarial,True,5,3.0,True,official_score_equals_3
pirate__q0,pirate,theatrical_fictional,True,0,3.0,True,official_score_equals_3
pirate__q5,pirate,theatrical_fictional,True,5,3.0,True,official_score_equals_3
tutor__q0,tutor,helpful_professional,True,0,3.0,True,official_score_equals_3
tutor__q5,tutor,helpful_professional,True,5,3.0,True,official_score_equals_3
