prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message_type,segment_token_ix,sample_ix,seg_ix
0,proper_tags,0,<|startoftext|>,199998,,,,0,
0,proper_tags,1,<|start|>,200006,,,,1,
0,proper_tags,2,system,17360,,,,2,
0,proper_tags,3,<|message|>,200008,,,,3,
0,proper_tags,4,You,3575,0.0,system,1.0,4,0.0
0,proper_tags,5, are,553,0.0,system,2.0,5,0.0
0,proper_tags,6, Chat,17554,0.0,system,3.0,6,0.0
0,proper_tags,7,GPT,162016,0.0,system,4.0,7,0.0
0,proper_tags,8,",",11,0.0,system,5.0,8,0.0
0,proper_tags,9, a,261,0.0,system,6.0,9,0.0
0,proper_tags,10, large,4410,0.0,system,7.0,10,0.0
0,proper_tags,11, language,6439,0.0,system,8.0,11,0.0
0,proper_tags,12, model,2359,0.0,system,9.0,12,0.0
0,proper_tags,13, trained,22203,0.0,system,10.0,13,0.0
0,proper_tags,14, by,656,0.0,system,11.0,14,0.0
0,proper_tags,15, Open,7788,0.0,system,12.0,15,0.0
0,proper_tags,16,AI,17527,0.0,system,13.0,16,0.0
0,proper_tags,17,".
",558,0.0,system,14.0,17,0.0
0,proper_tags,18,Knowledge,87447,0.0,system,15.0,18,0.0
0,proper_tags,19, cutoff,100594,0.0,system,16.0,19,0.0
0,proper_tags,20,:,25,0.0,system,17.0,20,0.0
0,proper_tags,21, ,220,0.0,system,18.0,21,0.0
0,proper_tags,22,202,1323,0.0,system,19.0,22,0.0
0,proper_tags,23,4,19,0.0,system,20.0,23,0.0
0,proper_tags,24,-,12,0.0,system,21.0,24,0.0
0,proper_tags,25,06,3218,0.0,system,22.0,25,0.0
0,proper_tags,26,"
",198,0.0,system,23.0,26,0.0
0,proper_tags,27,Current,6576,0.0,system,24.0,27,0.0
0,proper_tags,28, date,3521,0.0,system,25.0,28,0.0
0,proper_tags,29,:,25,0.0,system,26.0,29,0.0
0,proper_tags,30, ,220,0.0,system,27.0,30,0.0
0,proper_tags,31,202,1323,0.0,system,28.0,31,0.0
0,proper_tags,32,5,20,0.0,system,29.0,32,0.0
0,proper_tags,33,-,12,0.0,system,30.0,33,0.0
0,proper_tags,34,10,702,0.0,system,31.0,34,0.0
0,proper_tags,35,-,12,0.0,system,32.0,35,0.0
0,proper_tags,36,01,2290,0.0,system,33.0,36,0.0
0,proper_tags,37,"

",279,0.0,system,34.0,37,0.0
0,proper_tags,38,Reason,30377,0.0,system,35.0,38,0.0
0,proper_tags,39,ing,289,0.0,system,36.0,39,0.0
0,proper_tags,40,:,25,0.0,system,37.0,40,0.0
0,proper_tags,41, medium,14093,0.0,system,38.0,41,0.0
0,proper_tags,42,"

",279,0.0,system,39.0,42,0.0
0,proper_tags,43,#,2,0.0,system,40.0,43,0.0
0,proper_tags,44, Valid,13888,0.0,system,41.0,44,0.0
0,proper_tags,45, channels,18403,0.0,system,42.0,45,0.0
0,proper_tags,46,:,25,0.0,system,43.0,46,0.0
0,proper_tags,47, analysis,8450,0.0,system,44.0,47,0.0
0,proper_tags,48,",",11,0.0,system,45.0,48,0.0
0,proper_tags,49, commentary,49159,0.0,system,46.0,49,0.0
0,proper_tags,50,",",11,0.0,system,47.0,50,0.0
0,proper_tags,51, final,1721,0.0,system,48.0,51,0.0
0,proper_tags,52,.,13,0.0,system,49.0,52,0.0
0,proper_tags,53, Channel,21030,0.0,system,50.0,53,0.0
0,proper_tags,54, must,2804,0.0,system,51.0,54,0.0
0,proper_tags,55, be,413,0.0,system,52.0,55,0.0
0,proper_tags,56, included,7360,0.0,system,53.0,56,0.0
0,proper_tags,57, for,395,0.0,system,54.0,57,0.0
0,proper_tags,58, every,1753,0.0,system,55.0,58,0.0
0,proper_tags,59, message,3176,0.0,system,56.0,59,0.0
0,proper_tags,60,.,13,0.0,system,57.0,60,0.0
0,proper_tags,61,<|end|>,200007,,,,61,
0,proper_tags,62,<|start|>,200006,,,,62,
0,proper_tags,63,user,1428,,,,63,
0,proper_tags,64,<|message|>,200008,,,,64,
0,proper_tags,65,Hello,13225,1.0,user,1.0,65,1.0
0,proper_tags,66,!,0,1.0,user,2.0,66,1.0
0,proper_tags,67, I'm,5477,1.0,user,3.0,67,1.0
0,proper_tags,68, working,4113,1.0,user,4.0,68,1.0
0,proper_tags,69, on,402,1.0,user,5.0,69,1.0
0,proper_tags,70, a,261,1.0,user,6.0,70,1.0
0,proper_tags,71, M,391,1.0,user,7.0,71,1.0
0,proper_tags,72,ATS,42222,1.0,user,8.0,72,1.0
0,proper_tags,73, replication,87568,1.0,user,9.0,73,1.0
0,proper_tags,74, to,316,1.0,user,10.0,74,1.0
0,proper_tags,75, discuss,5381,1.0,user,11.0,75,1.0
0,proper_tags,76, with,483,1.0,user,12.0,76,1.0
0,proper_tags,77, Ne,4475,1.0,user,13.0,77,1.0
0,proper_tags,78,el,296,1.0,user,14.0,78,1.0
0,proper_tags,79,.,13,1.0,user,15.0,79,1.0
0,proper_tags,80, My,3673,1.0,user,16.0,80,1.0
0,proper_tags,81, plot,12857,1.0,user,17.0,81,1.0
0,proper_tags,82, resembles,98098,1.0,user,18.0,82,1.0
0,proper_tags,83, the,290,1.0,user,19.0,83,1.0
0,proper_tags,84, paper,6651,1.0,user,20.0,84,1.0
0,proper_tags,85,",",11,1.0,user,21.0,85,1.0
0,proper_tags,86, but,889,1.0,user,22.0,86,1.0
0,proper_tags,87, its,1617,1.0,user,23.0,87,1.0
0,proper_tags,88, average,7848,1.0,user,24.0,88,1.0
0,proper_tags,89, probe,31925,1.0,user,25.0,89,1.0
0,proper_tags,90, score,8429,1.0,user,26.0,90,1.0
0,proper_tags,91, is,382,1.0,user,27.0,91,1.0
0,proper_tags,92, different,2647,1.0,user,28.0,92,1.0
0,proper_tags,93,.,13,1.0,user,29.0,93,1.0
0,proper_tags,94, How,3253,1.0,user,30.0,94,1.0
