activation_site,layer,fold,train_questions,test_questions,heldout_personas,n_train_personas,n_test_personas,auroc,balanced_accuracy,threshold
pre_mlp,8,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.7333333333333334,1.1042144894599915
pre_mlp,8,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.5,1.423871099948883
pre_mlp,9,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.7333333333333334,1.843386560678482
pre_mlp,9,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.5,2.611987978219986
pre_mlp,10,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5666666666666667,1.7748997211456299
pre_mlp,10,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.5,2.667040318250656
pre_mlp,11,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.7333333333333334,1.855134904384613
pre_mlp,11,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.5,2.940297916531563
pre_mlp,12,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.6666666666666666,2.055811285972595
pre_mlp,12,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8518518518518519,0.5,3.092930644750595
pre_mlp,13,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.6333333333333333,2.111143708229065
pre_mlp,13,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.5,3.545090824365616
pre_mlp,14,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.5333333333333333,2.0338762998580933
pre_mlp,14,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.5,3.943544179201126
pre_mlp,15,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,1.4023070335388184
pre_mlp,15,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.5,3.295765072107315
pre_mlp,16,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.7333333333333333,0.5333333333333333,2.2198344469070435
pre_mlp,16,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9629629629629629,0.5,3.4851302206516266
pre_mlp,17,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,1.8049962520599365
pre_mlp,17,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.8333333333333333,4.211820334196091
pre_mlp,18,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,1.5917943716049194
pre_mlp,18,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.7222222222222222,3.2763009667396545
