response_id,persona,family,question_id,score,parsed,included,error
anarchist__q0,anarchist,spiritual_adversarial,0,3,True,True,
anarchist__q5,anarchist,spiritual_adversarial,5,1,True,False,
bartender__q0,bartender,ordinary_occupation,0,1,True,False,
bartender__q5,bartender,ordinary_occupation,5,2,True,False,
comedian__q0,comedian,theatrical_fictional,0,2,True,False,
comedian__q5,comedian,theatrical_fictional,5,3,True,True,
consultant__q0,consultant,helpful_professional,0,1,True,False,
consultant__q5,consultant,helpful_professional,5,3,True,True,
devils_advocate__q0,devils_advocate,spiritual_adversarial,0,3,True,True,
devils_advocate__q5,devils_advocate,spiritual_adversarial,5,3,True,True,
engineer__q0,engineer,ordinary_occupation,0,1,True,False,
engineer__q5,engineer,ordinary_occupation,5,3,True,True,
genie__q0,genie,theatrical_fictional,0,3,True,True,
genie__q5,genie,theatrical_fictional,5,3,True,True,
librarian__q0,librarian,ordinary_occupation,0,2,True,False,
librarian__q5,librarian,ordinary_occupation,5,3,True,True,
mediator__q0,mediator,helpful_professional,0,1,True,False,
mediator__q5,mediator,helpful_professional,5,2,True,False,
mystic__q0,mystic,spiritual_adversarial,0,3,True,True,
mystic__q5,mystic,spiritual_adversarial,5,3,True,True,
pirate__q0,pirate,theatrical_fictional,0,3,True,True,
pirate__q5,pirate,theatrical_fictional,5,3,True,True,
tutor__q0,tutor,helpful_professional,0,3,True,True,
tutor__q5,tutor,helpful_professional,5,3,True,True,
