prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens_total,target_tokens,skipped_initial_content_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
0,0,0,c4,user,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,84,32,94,180,59,False
1,0,0,c4,assistant,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,84,32,99,185,59,False
2,0,0,c4,tool,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,84,32,96,183,59,False
3,1,1,c4,user,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,388,32,90,480,55,False
4,1,1,c4,assistant,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,388,32,95,485,55,False
5,1,1,c4,tool,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,388,32,92,483,55,False
6,2,2,c4,user,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,158,32,52,212,17,False
7,2,2,c4,assistant,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,158,32,57,217,17,False
8,2,2,c4,tool,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,158,32,54,215,17,False
9,3,3,c4,user,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,992,32,35,1029,0,True
10,3,3,c4,assistant,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,992,32,39,1033,0,True
11,3,3,c4,tool,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,992,32,37,1033,0,True
12,4,4,c4,user,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,27,32,36,65,1,False
13,4,4,c4,assistant,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,27,32,41,70,1,False
14,4,4,c4,tool,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,27,32,38,68,1,False
15,5,5,c4,user,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,102,32,92,196,57,False
16,5,5,c4,assistant,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,102,32,97,201,57,False
17,5,5,c4,tool,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,102,32,94,199,57,False
18,6,6,c4,user,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,597,32,170,769,135,False
19,6,6,c4,assistant,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,597,32,175,774,135,False
20,6,6,c4,tool,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,597,32,172,772,135,False
21,7,7,c4,user,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,94,32,69,165,34,False
22,7,7,c4,assistant,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,94,32,74,170,34,False
23,7,7,c4,tool,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,127,95,32,71,169,34,False
24,8,8,c4,user,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,842,32,50,894,15,False
25,8,8,c4,assistant,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,842,32,55,899,15,False
26,8,8,c4,tool,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,842,32,52,897,15,False
27,9,9,c4,user,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,292,32,70,364,35,False
28,9,9,c4,assistant,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,292,32,75,369,35,False
29,9,9,c4,tool,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,292,32,72,367,35,False
30,10,10,c4,user,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,538,32,50,590,15,False
31,10,10,c4,assistant,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,538,32,55,595,15,False
32,10,10,c4,tool,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,538,32,52,593,15,False
33,11,11,c4,user,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,107,32,126,235,91,False
34,11,11,c4,assistant,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,107,32,131,240,91,False
35,11,11,c4,tool,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,107,32,128,238,91,False
36,12,12,c4,user,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,522,32,42,566,7,False
37,12,12,c4,assistant,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,522,32,47,571,7,False
38,12,12,c4,tool,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,522,32,44,569,7,False
39,13,13,c4,user,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,187,32,84,273,49,False
40,13,13,c4,assistant,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,187,32,89,278,49,False
41,13,13,c4,tool,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,187,32,86,276,49,False
42,14,14,c4,user,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,801,32,111,914,76,False
