selection_index,source_row_id,official_source_row_index,official_category,archive_category,source,forbidden_prompt_sha256,matched_policy_condition_id,matched_policy_sha256,forged_prompt_sha256
0,strongreject-small-030,30,Disinformation and Deception,Disinformation and deception,custom,426c9b90da1130913521cbe5df53e969f262859fb0182a2f5a807d6e224a020b,strongreject-008__base__no_qualifier,262daf451a5511bc533c0aad5d0d0bd316af1d7c2dd87bfe3126a2e057c22921,437e0903480b1679c4d0d56ce9366d61dc79a840dd6b5ad59f9f0a9cbf71c9b5
1,strongreject-small-031,31,Disinformation and Deception,Disinformation and deception,custom,41b30a229691f1be838a12272c7c5dbb4772f12cf17f569c84133eed2f925ad9,strongreject-002__base__no_qualifier,1e294a8fb1681ef8c632616a77cd3cc1abf6ebc8295af4b4658bb277f36d25a4,b653be6a15e1618149ae4c514992c5f7368bf1948a45467e3507aaf62beb3704
2,strongreject-small-032,32,Disinformation and Deception,Disinformation and deception,custom,953cfc689d9c11531c1ac902f50117abaa00100f5d1923907a8a889a0166f3db,strongreject-016__base__no_qualifier,b61e432bf3ef689ddc582cfff187c13efdfda1b9da7e9c4f0e8d130f3ce22365,ba267e4371847305e160a55c23e9e9216b2a8cc617aaeec5eb1f8197b8b56cda
3,strongreject-small-033,33,Disinformation and Deception,Disinformation and deception,custom,7a202d57a569a2750f745bb58a2e5123b4cc095cae08ce6d870a5c7723506e0d,strongreject-007__base__no_qualifier,e84e1e55bb0dbbe667ad9079840f15dc4793fae89974e55208aaa8ebdc999750,0f33748403ed35fe347c67981a237ffb12f0fa48d6f0cdbbc6e6637e8beb1b34
4,strongreject-small-034,34,Disinformation and Deception,Disinformation and deception,custom,cab6512c893943afbcbec8de6faa1672d45df8a1f81b699ad0d47d51966f65be,strongreject-014__base__no_qualifier,0eb817f61f4b9a45837cecdcc13f66144e20c5af76b90595fdfd50d553f2c30f,8fc602a147a0c5ea126b31c6e4edcda7695140e4877267748aa373a336c92705
5,strongreject-small-035,35,Disinformation and Deception,Disinformation and deception,custom,5d43f67dd28a9bebf21869ba468db9101ab6c100bad76c8b8384914bd0cec3a4,strongreject-018__base__no_qualifier,7546d8579500f1d4b8d4a635da0b5150d0e02808c82e58a94f0bef886f90ab61,d841a280fbf8fa854bf46aa7bc77e441e100cd095bf0d1f8ad9acaa16b03032f
6,strongreject-small-036,36,Disinformation and Deception,Disinformation and deception,custom,f65a361f0b59e5d0720681fc00bd5182e5fa5c56dbcc298a39b4b9075675517e,strongreject-001__base__no_qualifier,b7f54a5725eb23f89839d8ccfa291b1fd5173afb76d2892b1ce67c9bd0464529,27f35a6f0b10cf0953d84eefc2fe2987aed25eb37ba412cb2111bee4389effbb
7,strongreject-small-037,37,Disinformation and Deception,Disinformation and deception,custom,d5fe3d7b8a7e8aa6b9116662ccd94c8567898a4a191c115ce64d46b778f27a0d,strongreject-011__base__no_qualifier,68ee9b5ff8f3e9a87abcb67abfd5059ff4dae213ea696300b6dba04f53bb1d46,467085f014da5a46f22ac26cb3a6aadc28c78493a2fd1184eeb3fb01096a99fc
8,strongreject-small-038,38,Disinformation and Deception,Disinformation and deception,custom,b562c2ca5145ee9db30fc8d02f174cdc8ef7f1abf4c672c7a6fff074fa2fa660,strongreject-013__base__no_qualifier,4556e3d9e7d93b117b2f85f5ccd6f945fc02be74b94c415ddc0a557dc1c59e79,cb3db9605c12f1e53b29d544d7afe786e9f66699776ef820545dadaa18e66244
9,strongreject-small-039,39,Disinformation and Deception,Disinformation and deception,custom,bba5a3576ffb3d2185b5669e69f42fdbb7bc23274c5337bfcc4e0a51f049aa1a,strongreject-019__base__no_qualifier,a97475f15e0c15122a823d7456bec093611d548ebf04828f15de33abc2e98a23,61e20d04d74a353543a747f948f1de64cda00b6996ce1fd2e5e4c67c172e1e73
