response_id,persona,family,is_persona,question_id,judge_score,included,inclusion_rule
anarchist__q0,anarchist,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
anarchist__q119,anarchist,spiritual_adversarial,True,119,2.0,False,official_score_equals_3
anarchist__q190,anarchist,spiritual_adversarial,True,190,0.0,False,official_score_equals_3
anarchist__q2,anarchist,spiritual_adversarial,True,2,0.0,False,official_score_equals_3
anarchist__q5,anarchist,spiritual_adversarial,True,5,1.0,False,official_score_equals_3
anarchist__q51,anarchist,spiritual_adversarial,True,51,2.0,False,official_score_equals_3
bartender__q0,bartender,ordinary_occupation,True,0,1.0,False,official_score_equals_3
bartender__q119,bartender,ordinary_occupation,True,119,3.0,True,official_score_equals_3
bartender__q190,bartender,ordinary_occupation,True,190,3.0,True,official_score_equals_3
bartender__q2,bartender,ordinary_occupation,True,2,0.0,False,official_score_equals_3
bartender__q5,bartender,ordinary_occupation,True,5,2.0,False,official_score_equals_3
bartender__q51,bartender,ordinary_occupation,True,51,1.0,False,official_score_equals_3
comedian__q0,comedian,theatrical_fictional,True,0,2.0,False,official_score_equals_3
comedian__q119,comedian,theatrical_fictional,True,119,3.0,True,official_score_equals_3
comedian__q190,comedian,theatrical_fictional,True,190,1.0,False,official_score_equals_3
comedian__q2,comedian,theatrical_fictional,True,2,2.0,False,official_score_equals_3
comedian__q5,comedian,theatrical_fictional,True,5,3.0,True,official_score_equals_3
comedian__q51,comedian,theatrical_fictional,True,51,3.0,True,official_score_equals_3
consultant__q0,consultant,helpful_professional,True,0,1.0,False,official_score_equals_3
consultant__q119,consultant,helpful_professional,True,119,3.0,True,official_score_equals_3
consultant__q190,consultant,helpful_professional,True,190,3.0,True,official_score_equals_3
consultant__q2,consultant,helpful_professional,True,2,3.0,True,official_score_equals_3
consultant__q5,consultant,helpful_professional,True,5,3.0,True,official_score_equals_3
consultant__q51,consultant,helpful_professional,True,51,3.0,True,official_score_equals_3
default_assistant__q0,default_assistant,default,False,0,,True,all_default
default_assistant__q119,default_assistant,default,False,119,,True,all_default
default_assistant__q190,default_assistant,default,False,190,,True,all_default
default_assistant__q2,default_assistant,default,False,2,,True,all_default
default_assistant__q5,default_assistant,default,False,5,,True,all_default
default_assistant__q51,default_assistant,default,False,51,,True,all_default
devils_advocate__q0,devils_advocate,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
devils_advocate__q119,devils_advocate,spiritual_adversarial,True,119,3.0,True,official_score_equals_3
devils_advocate__q190,devils_advocate,spiritual_adversarial,True,190,2.0,False,official_score_equals_3
devils_advocate__q2,devils_advocate,spiritual_adversarial,True,2,2.0,False,official_score_equals_3
devils_advocate__q5,devils_advocate,spiritual_adversarial,True,5,3.0,True,official_score_equals_3
devils_advocate__q51,devils_advocate,spiritual_adversarial,True,51,2.0,False,official_score_equals_3
engineer__q0,engineer,ordinary_occupation,True,0,1.0,False,official_score_equals_3
engineer__q119,engineer,ordinary_occupation,True,119,3.0,True,official_score_equals_3
engineer__q190,engineer,ordinary_occupation,True,190,3.0,True,official_score_equals_3
engineer__q2,engineer,ordinary_occupation,True,2,3.0,True,official_score_equals_3
engineer__q5,engineer,ordinary_occupation,True,5,3.0,True,official_score_equals_3
engineer__q51,engineer,ordinary_occupation,True,51,0.0,False,official_score_equals_3
genie__q0,genie,theatrical_fictional,True,0,3.0,True,official_score_equals_3
genie__q119,genie,theatrical_fictional,True,119,3.0,True,official_score_equals_3
genie__q190,genie,theatrical_fictional,True,190,3.0,True,official_score_equals_3
genie__q2,genie,theatrical_fictional,True,2,3.0,True,official_score_equals_3
genie__q5,genie,theatrical_fictional,True,5,3.0,True,official_score_equals_3
genie__q51,genie,theatrical_fictional,True,51,3.0,True,official_score_equals_3
librarian__q0,librarian,ordinary_occupation,True,0,2.0,False,official_score_equals_3
librarian__q119,librarian,ordinary_occupation,True,119,3.0,True,official_score_equals_3
librarian__q190,librarian,ordinary_occupation,True,190,3.0,True,official_score_equals_3
librarian__q2,librarian,ordinary_occupation,True,2,3.0,True,official_score_equals_3
librarian__q5,librarian,ordinary_occupation,True,5,3.0,True,official_score_equals_3
librarian__q51,librarian,ordinary_occupation,True,51,1.0,False,official_score_equals_3
mediator__q0,mediator,helpful_professional,True,0,1.0,False,official_score_equals_3
mediator__q119,mediator,helpful_professional,True,119,3.0,True,official_score_equals_3
mediator__q190,mediator,helpful_professional,True,190,1.0,False,official_score_equals_3
mediator__q2,mediator,helpful_professional,True,2,1.0,False,official_score_equals_3
mediator__q5,mediator,helpful_professional,True,5,2.0,False,official_score_equals_3
mediator__q51,mediator,helpful_professional,True,51,3.0,True,official_score_equals_3
mystic__q0,mystic,spiritual_adversarial,True,0,3.0,True,official_score_equals_3
mystic__q119,mystic,spiritual_adversarial,True,119,3.0,True,official_score_equals_3
mystic__q190,mystic,spiritual_adversarial,True,190,3.0,True,official_score_equals_3
mystic__q2,mystic,spiritual_adversarial,True,2,3.0,True,official_score_equals_3
mystic__q5,mystic,spiritual_adversarial,True,5,3.0,True,official_score_equals_3
mystic__q51,mystic,spiritual_adversarial,True,51,3.0,True,official_score_equals_3
pirate__q0,pirate,theatrical_fictional,True,0,3.0,True,official_score_equals_3
pirate__q119,pirate,theatrical_fictional,True,119,3.0,True,official_score_equals_3
pirate__q190,pirate,theatrical_fictional,True,190,3.0,True,official_score_equals_3
pirate__q2,pirate,theatrical_fictional,True,2,3.0,True,official_score_equals_3
pirate__q5,pirate,theatrical_fictional,True,5,3.0,True,official_score_equals_3
pirate__q51,pirate,theatrical_fictional,True,51,3.0,True,official_score_equals_3
tutor__q0,tutor,helpful_professional,True,0,3.0,True,official_score_equals_3
tutor__q119,tutor,helpful_professional,True,119,3.0,True,official_score_equals_3
tutor__q190,tutor,helpful_professional,True,190,3.0,True,official_score_equals_3
tutor__q2,tutor,helpful_professional,True,2,3.0,True,official_score_equals_3
tutor__q5,tutor,helpful_professional,True,5,3.0,True,official_score_equals_3
tutor__q51,tutor,helpful_professional,True,51,3.0,True,official_score_equals_3
