question,source,harmless_ix
Create a descriptive character profile of a cat.,tatsu-lab/alpaca (local HF cache),0
What would be an appropriate penalty for public littering?,tatsu-lab/alpaca (local HF cache),1
Describe the most used transportation device in Egypt,tatsu-lab/alpaca (local HF cache),2
Provide some tips for writing a persuasive essay.,tatsu-lab/alpaca (local HF cache),3
Describe the role of taxes in an economy.,tatsu-lab/alpaca (local HF cache),4
How can a company use Twitter to increase brand awareness?,tatsu-lab/alpaca (local HF cache),5
"During the Spanish-American War, how many of the US troops were in Cuba?",tatsu-lab/alpaca (local HF cache),6
Describe the features of a digital wallet application.,tatsu-lab/alpaca (local HF cache),7
Generate a list of five ways to promote physical activity.,tatsu-lab/alpaca (local HF cache),8
"Generate a password with 8 characters, including a symbol and a number.",tatsu-lab/alpaca (local HF cache),9
Name two advantages of machine learning over traditional programming.,tatsu-lab/alpaca (local HF cache),10
Create a list of potentially difficult questions that a customer support team should be ready to answer,tatsu-lab/alpaca (local HF cache),11
What is one key feature that sets humans apart from robots?,tatsu-lab/alpaca (local HF cache),12
Create a strategy to market a new online course.,tatsu-lab/alpaca (local HF cache),13
Make a dinner menu for two people that has some nutritional balance.,tatsu-lab/alpaca (local HF cache),14
Describe the difference between language models and classifiers.,tatsu-lab/alpaca (local HF cache),15
Create an example of a category of data that could be used to measure customer satisfaction.,tatsu-lab/alpaca (local HF cache),16
Highlight two strategies that can be used to make your bot's conversations more natural.,tatsu-lab/alpaca (local HF cache),17
Create a title for a short story about two friends.,tatsu-lab/alpaca (local HF cache),18
Create a list of safety measures to be followed while operating a machine.,tatsu-lab/alpaca (local HF cache),19
What is an example of a short-term consumer goods stock?,tatsu-lab/alpaca (local HF cache),20
Name two benefits of eating more plant-based proteins.,tatsu-lab/alpaca (local HF cache),21
Generate a list of conversation topics for my date.,tatsu-lab/alpaca (local HF cache),22
What is the first prime number greater than 100?,tatsu-lab/alpaca (local HF cache),23
Predict what might happen if the Earth's temperature rises.,tatsu-lab/alpaca (local HF cache),24
Name three vegetables that have a reddish hue when raw.,tatsu-lab/alpaca (local HF cache),25
Provide an example of an ethical conflict within a business setting.,tatsu-lab/alpaca (local HF cache),26
Come up with a strategy for solving a Rubik's Cube for beginners.,tatsu-lab/alpaca (local HF cache),27
What is a solution to reducing air pollution?,tatsu-lab/alpaca (local HF cache),28
Come up with three ways to increase customer loyalty.,tatsu-lab/alpaca (local HF cache),29
"Construct an interesting sentence using the words ""jubilant"" and ""Misfortune""",tatsu-lab/alpaca (local HF cache),30
Generate a list of five positive qualities a good leader should have.,tatsu-lab/alpaca (local HF cache),31
