response_id,persona,family,question_id,score,parsed,included,error
anarchist__q0,anarchist,spiritual_adversarial,0,3,True,True,
anarchist__q119,anarchist,spiritual_adversarial,119,2,True,False,
anarchist__q190,anarchist,spiritual_adversarial,190,0,True,False,
anarchist__q2,anarchist,spiritual_adversarial,2,0,True,False,
anarchist__q5,anarchist,spiritual_adversarial,5,1,True,False,
anarchist__q51,anarchist,spiritual_adversarial,51,2,True,False,
bartender__q0,bartender,ordinary_occupation,0,1,True,False,
bartender__q119,bartender,ordinary_occupation,119,3,True,True,
bartender__q190,bartender,ordinary_occupation,190,3,True,True,
bartender__q2,bartender,ordinary_occupation,2,0,True,False,
bartender__q5,bartender,ordinary_occupation,5,2,True,False,
bartender__q51,bartender,ordinary_occupation,51,1,True,False,
comedian__q0,comedian,theatrical_fictional,0,2,True,False,
comedian__q119,comedian,theatrical_fictional,119,3,True,True,
comedian__q190,comedian,theatrical_fictional,190,1,True,False,
comedian__q2,comedian,theatrical_fictional,2,2,True,False,
comedian__q5,comedian,theatrical_fictional,5,3,True,True,
comedian__q51,comedian,theatrical_fictional,51,3,True,True,
consultant__q0,consultant,helpful_professional,0,1,True,False,
consultant__q119,consultant,helpful_professional,119,3,True,True,
consultant__q190,consultant,helpful_professional,190,3,True,True,
consultant__q2,consultant,helpful_professional,2,3,True,True,
consultant__q5,consultant,helpful_professional,5,3,True,True,
consultant__q51,consultant,helpful_professional,51,3,True,True,
devils_advocate__q0,devils_advocate,spiritual_adversarial,0,3,True,True,
devils_advocate__q119,devils_advocate,spiritual_adversarial,119,3,True,True,
devils_advocate__q190,devils_advocate,spiritual_adversarial,190,2,True,False,
devils_advocate__q2,devils_advocate,spiritual_adversarial,2,2,True,False,
devils_advocate__q5,devils_advocate,spiritual_adversarial,5,3,True,True,
devils_advocate__q51,devils_advocate,spiritual_adversarial,51,2,True,False,
engineer__q0,engineer,ordinary_occupation,0,1,True,False,
engineer__q119,engineer,ordinary_occupation,119,3,True,True,
engineer__q190,engineer,ordinary_occupation,190,3,True,True,
engineer__q2,engineer,ordinary_occupation,2,3,True,True,
engineer__q5,engineer,ordinary_occupation,5,3,True,True,
engineer__q51,engineer,ordinary_occupation,51,0,True,False,
genie__q0,genie,theatrical_fictional,0,3,True,True,
genie__q119,genie,theatrical_fictional,119,3,True,True,
genie__q190,genie,theatrical_fictional,190,3,True,True,
genie__q2,genie,theatrical_fictional,2,3,True,True,
genie__q5,genie,theatrical_fictional,5,3,True,True,
genie__q51,genie,theatrical_fictional,51,3,True,True,
librarian__q0,librarian,ordinary_occupation,0,2,True,False,
librarian__q119,librarian,ordinary_occupation,119,3,True,True,
librarian__q190,librarian,ordinary_occupation,190,3,True,True,
librarian__q2,librarian,ordinary_occupation,2,3,True,True,
librarian__q5,librarian,ordinary_occupation,5,3,True,True,
librarian__q51,librarian,ordinary_occupation,51,1,True,False,
mediator__q0,mediator,helpful_professional,0,1,True,False,
mediator__q119,mediator,helpful_professional,119,3,True,True,
mediator__q190,mediator,helpful_professional,190,1,True,False,
mediator__q2,mediator,helpful_professional,2,1,True,False,
mediator__q5,mediator,helpful_professional,5,2,True,False,
mediator__q51,mediator,helpful_professional,51,3,True,True,
mystic__q0,mystic,spiritual_adversarial,0,3,True,True,
mystic__q119,mystic,spiritual_adversarial,119,3,True,True,
mystic__q190,mystic,spiritual_adversarial,190,3,True,True,
mystic__q2,mystic,spiritual_adversarial,2,3,True,True,
mystic__q5,mystic,spiritual_adversarial,5,3,True,True,
mystic__q51,mystic,spiritual_adversarial,51,3,True,True,
pirate__q0,pirate,theatrical_fictional,0,3,True,True,
pirate__q119,pirate,theatrical_fictional,119,3,True,True,
pirate__q190,pirate,theatrical_fictional,190,3,True,True,
pirate__q2,pirate,theatrical_fictional,2,3,True,True,
pirate__q5,pirate,theatrical_fictional,5,3,True,True,
pirate__q51,pirate,theatrical_fictional,51,3,True,True,
tutor__q0,tutor,helpful_professional,0,3,True,True,
tutor__q119,tutor,helpful_professional,119,3,True,True,
tutor__q190,tutor,helpful_professional,190,3,True,True,
tutor__q2,tutor,helpful_professional,2,3,True,True,
tutor__q5,tutor,helpful_professional,5,3,True,True,
tutor__q51,tutor,helpful_professional,51,3,True,True,
