conv_id,dataset,user_query_ix,user_query,source_conv_id,source_message_id,source_row_ix,source_text_sha256
0,oasst,0,Can you explain contrastive learning in machine learning in simple terms for someone new to the field of ML?,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,24,1c48f28cdb9dd13c1d2fe2f84466f7762c0a0ba171257a5514d70cdaa9853add
0,oasst,1,I didn't understand how pulling and pushing works. What are we pulling or pushing? And how does it work in terms of code or maths?,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,345ef82e-70f1-4824-9d73-db2ce00573a7,26,6166d37bf4eda25d9e45803a94e905257c1b4798921cdcc571d2534f51c69487
1,oasst,0,"Listened to Dvorak's ""The New World"" symphony, liked it much. What composers, not necessarily from Dvorak's time, wrote similar music? Provide a few suggestions, give composer names and their respective works. Also, what Dvorak's other works sound like the ""New World""?",99b7abf2-51ef-48ac-8bbd-21162e162920,99b7abf2-51ef-48ac-8bbd-21162e162920,131,14b816efdef3cd85d38859149ca9d42b29827640ccc65ffb25afbe643032476e
2,oasst,0,"Write a 4chan style greentext about someone who loves the new romantic comedy movie, with an ironic twist that re-contextualizes the story at the end.. It should start with '>be me'",5d2edf21-d83e-425d-9413-337f004662fc,5d2edf21-d83e-425d-9413-337f004662fc,197,e8aa35a9b1991dea71c19d3ddb992912c8ba60157d53550ceb519eff00eebe09
3,oasst,0,How would I create a script for blender that replaces all of objects with a specific name with a point light?,ca4d0c93-220b-4861-87c1-bdb44cd13f72,ca4d0c93-220b-4861-87c1-bdb44cd13f72,210,1fd662e38838888b4d730bc35842bf18df2c781dd551e3ec0d90f5773661833a
3,oasst,1,When I run this code in Blender 3.4.1 as you specified it does in fact replace the cube with a point light. Thank you for the helpful code! How could I achieve the same effect but by object type instead of name?,ca4d0c93-220b-4861-87c1-bdb44cd13f72,0d60074f-be8b-4b25-ac3a-1eb5203b65ed,212,40ec102ada9e5b1145d6f78bd55352d378c8a9a8e63ad520267891c0d6379ddc
4,oasst,0,"[lyrics] of the verse go like this: “The sun is up, the sky is blue, it’s beautiful and so are you.” Which song is that and who is the author of the [lyrics]?",a25bf9ca-c93d-4486-b67b-1f78ddabadbb,a25bf9ca-c93d-4486-b67b-1f78ddabadbb,226,39253e9c3fe7f85d32ac187c8a66f199261f8b410fd54bfa5122918690071190
4,oasst,1,"Great, which song are these lyrics from, and who wrote them?

[lyrics] 
""Have you heard of Peter Jones, the man who sells old rags and bones?""",a25bf9ca-c93d-4486-b67b-1f78ddabadbb,57638497-22ac-4060-948b-553ecd491c92,228,e6d1f1f8656aa890dc9e71eaefdb9b1cc52258e1e567f9efe05d87ea66ad8932
5,oasst,0,What is the difference between open assistant and ChatGPT? Why should i use Open Assistant? And can you give me some examples of advanced chatbots that are similar to Open Assistant?,3b863a2e-f80a-4520-b305-e7836636f2bf,3b863a2e-f80a-4520-b305-e7836636f2bf,281,347f512e150bcd438114489d29d88018b5733b87022d27f30632b38130568fc9
5,oasst,1,"What is the difference in performance between the two models? Can you be more specific about the performance in conversational tasks, knowledge grounded question answering and in summarization?",3b863a2e-f80a-4520-b305-e7836636f2bf,79a99ef9-2c9a-4bee-808f-c790540f24f3,283,e031f2f6011b901e0aa2303dff0785382e9977715a5170346d73259a2d02e599
6,oasst,0,"If I add a USB GPS dongle to a Microsoft surface tablet, can googlemaps then use my location and do car navigation for me?",01abfbed-a70f-41b3-9e30-7cc5b3bb0d00,01abfbed-a70f-41b3-9e30-7cc5b3bb0d00,644,a3565a0a8d3716bb0818b379418751b49a2685f9a9b97cad45c1a0476cda435f
6,oasst,1,"In this scenario, is it preferable to access Google Maps on an browser or on an app from Microsoft Store?",01abfbed-a70f-41b3-9e30-7cc5b3bb0d00,0c57f7a0-1908-4e25-9326-f56e7140a453,646,2aa3f9df00d5c1cb978c683a383167c40cb24b8c6369eb3f5a8f4d64d63dcc56
7,oasst,0,How can I find a girlfriend? I really don't hawe much to offer to others. At least I'm good in computers hardware and Linux. But not much girls have been interested in this kind of things. And it's probably impossible to find cute one.,81606c21-7ee2-451b-9299-b58d7d8780ff,81606c21-7ee2-451b-9299-b58d7d8780ff,769,f6729a74cf85847c26aef9fe06836630d78344f00e049b388d07027b2e51a0a7
8,oasst,0,"How much tea does the average person drink each year? I think that my usual three to five cups per day is healthy, but I am not sure. I have recently started to drink an average of five to seven cups, and I feel nauseous and bloated. Should I see a doctor, or just cut down on the tea?",6371394f-0f6f-4fb4-a327-c6503d1210ff,6371394f-0f6f-4fb4-a327-c6503d1210ff,945,71377b5ad7226e0bbaa0e14df12beec617b023df8967db6f1cf0912eb9ef19c6
8,oasst,1,How does the amount of tea drunk per day per person vary across the main continents of the world?  Which countries have the highest consumption of cups per day?,6371394f-0f6f-4fb4-a327-c6503d1210ff,01f7abf2-53c8-4ea5-85b3-34f5bb6b21a6,947,7319ea10e4121b5b3aeee16580f8919a59b197e149ee507a873585070e3ac191
9,oasst,0,I want to become better at mentoring. Could you describe at least 5 traits of a great mentor? Go in detail about each trait and how to develop that trait. Provide some examples as well.,65e4ec48-2687-472e-b985-79443e3d454b,65e4ec48-2687-472e-b985-79443e3d454b,1069,c5d85c669c89c331d812906c0a1ce8fdc56039e581f681c294830e12f27ff5f5
9,oasst,1,Great points! I'd like to dedicate myself to work on these points one at a time. Which point would allow me to improve the most as a mentor in the shortest amount of time?,65e4ec48-2687-472e-b985-79443e3d454b,de17c849-537d-4d28-9f5b-2d25a7c893a5,1071,49e7147c84f998b59940364591c441a43b38e24902c4f70823a90d2aa6814078
10,oasst,0,"I'm trying to understand an answer to a cryptic crossword that I've been trying to solve.  The clue is:

""Aircraft whirling, cheer pilot! (10)""

and apparently, the answer is ""helicopter"".

Could you explain this answer for me please?",2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,1173,626a2708f51730924abab3055097ab7a74f0edecfe7a61f9a3445f3474d9dd5d
10,oasst,1,"Helicopter is an anagram of ""cheer pilot"", and a helicopter is an aircraft. Cryptic clues will also use words, like ""whirling"", to indicate an anagram. So the clue, ""Aircraft whirling, cheer pilot"" is saying that you are looking for a type of aircraft by ""whirling"" the letters of the phrase ""cheer pilot"".",2f0980cf-61d9-4cfe-9b67-fc16afc24ba5,458a1d45-31f6-4797-aeac-3b5d3e449d87,1175,04e0b0d9ba667bb3ec576bbb1ee797f60a8ed9ad5d9f983ecd8d1dcf42cda608
11,oasst,0,"Create an outline of a professional legal memorandum written for a court of appeals. The subject is income taxes. Some things that are required are conclusion, facts, law, analysis. Provide some pointed questions as necessary to improve the completeness  of the story.",ccda9c25-0939-4f28-8841-66a03c7c0cc5,ccda9c25-0939-4f28-8841-66a03c7c0cc5,1322,cdd790787534c5a8f924de409f754bb4387c80b0e15b714a3fbeea8e51167ce0
12,oasst,0,"What is the best design of a system that uploads a file to S3, than resizes it with lambda but using the same key as uploaded, without triggering the resize lambda function twice or more?",f9ccaeea-35ba-4ece-be58-e7a8070f2f6b,f9ccaeea-35ba-4ece-be58-e7a8070f2f6b,1341,a25135dc189849e947c87a89b067840bf88f75d3928f1f5f74b6f2c929534355
13,oasst,0,"How to write a python script, that will ask user for a number N, and then run fizzbuzz game for those N numbers?",96ad6f30-4be0-49f7-93ef-d7db62461c51,96ad6f30-4be0-49f7-93ef-d7db62461c51,1401,932dd0261ccc141564b29170dbe30476a1487eddbadc909b4b13f35a12e8a874
13,oasst,1,"Wouldn't it be pointless to loop for just one number? Since we're only asking for a number from the user at the beginning, wouldn't it make more sense to have a loop that includes this step?",96ad6f30-4be0-49f7-93ef-d7db62461c51,51930d94-e7c9-4292-8cb1-1321b74d78b1,1403,1f09b99dd1bf8e0f0ae221dd67ca83f56552109d75246e1fbe84fced3d590a76
14,oasst,0,"Propose a cleaning plan for a 3-room apartment shared by two people. Tasks should be split fairly and rotate every once in a while. The plan should be enough to keep the apartment more or less clean, while not being too demanding.",73c9e28b-7b34-48f2-9b3a-9be4be4db362,73c9e28b-7b34-48f2-9b3a-9be4be4db362,1805,b08422384efddc7036d08ae252f04cfe1638b92769284b02631b751a7a4ca7a1
