activation_site,layer,fold,train_question,test_question,heldout_personas,n_train_personas,n_test_personas,auroc,balanced_accuracy,threshold
pre_mlp,8,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,3.2427075505256653
pre_mlp,8,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,2.901068776845932
pre_mlp,9,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,4.506813623011112
pre_mlp,9,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,5.001134276390076
pre_mlp,10,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,5.634676277637482
pre_mlp,10,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,4.976563781499863
pre_mlp,11,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,6.182152330875397
pre_mlp,11,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,5.984096348285675
pre_mlp,12,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,6.609314918518066
pre_mlp,12,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,6.257825672626495
pre_mlp,13,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,6.127007246017456
pre_mlp,13,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,6.7623685002326965
pre_mlp,14,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,5.682978332042694
pre_mlp,14,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,6.758539259433746
pre_mlp,15,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,4.571177124977112
pre_mlp,15,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,5.619478493928909
pre_mlp,16,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,4.610078036785126
pre_mlp,16,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,6.43010276556015
pre_mlp,17,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,4.040129065513611
pre_mlp,17,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,7.114866614341736
pre_mlp,18,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,3.1261361837387085
pre_mlp,18,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,6.6680702567100525
pre_mlp,19,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,3.4725825786590576
pre_mlp,19,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,7.146050870418549
pre_mlp,20,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,3.2508385181427
pre_mlp,20,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,7.011627793312073
block_output,8,0,0,5,anarchist|comedian|consultant|engineer,5,3,1.0,0.5,169.54911041259766
block_output,8,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,107.09505653381348
block_output,9,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,124.50579643249512
block_output,9,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,180.6237335205078
block_output,10,0,0,5,anarchist|comedian|consultant|engineer,5,3,1.0,0.5,271.34004974365234
block_output,10,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,243.96157836914062
block_output,11,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,176.43378067016602
block_output,11,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,251.51129150390625
block_output,12,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,445.01817321777344
block_output,12,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,340.762451171875
block_output,13,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,223.45847511291504
block_output,13,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,275.06440353393555
block_output,14,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,665.1300354003906
block_output,14,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,369.9472198486328
block_output,15,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,628.6969757080078
block_output,15,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,522.9551086425781
block_output,16,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,1363.1791381835938
block_output,16,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,860.4024047851562
block_output,17,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.6666666666666667,0.5,817.5454559326172
block_output,17,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,958.4384155273438
block_output,18,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,2027.8955078125
block_output,18,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,1332.38134765625
block_output,19,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,1353.8645477294922
block_output,19,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,1094.6598815917969
block_output,20,0,0,5,anarchist|comedian|consultant|engineer,5,3,0.33333333333333337,0.5,2923.4820556640625
block_output,20,1,5,0,devils_advocate|genie|librarian|tutor,5,3,1.0,0.5,1954.1953735351562
